CATEGORY,SUB_CATEGORY,KEYWORD,DE,EN
RURAL,<NONE>,fish, fisch, fish
RURAL,<NONE>,forest, wald Forst, forest
RURAL,<NONE>,horse, pferd, horse
RURAL,<NONE>,landscape, landschaft, landscape
RURAL,<NONE>,town, dorf stadt ort, village village
VALUES,CONSERVATIVE,history, geschicht Histror, histor
VALUES,CONSERVATIVE,honour, ehre , honour
VALUES,CONSERVATIVE,immigration, einwander, immigra
VALUES,CONSERVATIVE,inheritance, erb, inherit
VALUES,CONSERVATIVE,jubilee, jubiläum, jubilee
VALUES,CONSERVATIVE,obscenity, obszön, obscen
VALUES,CONSERVATIVE,pornography, pornographie, pornograph
VALUES,CONSERVATIVE,preservation, erhalt, preserv
VALUES,CONSERVATIVE,principle, prinzipien, principl
VALUES,CONSERVATIVE,punctual, pünktlich, punctual on-time
VALUES,CONSERVATIVE,recapture, zuruckerob, recapture
VALUES,CONSERVATIVE,reliability, zuverläss, reliab
VALUES,CONSERVATIVE,threat, drohung, threat
VALUES,CONSERVATIVE,tradition, tradition, tradition
VALUES,LIBERAL,discriminatation, diskriminier benachteilig, discriminat
VALUES,LIBERAL,human, mensch, human
VALUES,LIBERAL,injustice, ungerecht, injustice
VALUES,LIBERAL,repression, repression Unterdrück, repressi
VALUES,LIBERAL,sex, sex, sex
